x,y_true,y_sample
-1.000000,0.038462,-0.048497
-0.990000,0.039212,-0.290600
-0.980000,0.039984,0.248326
-0.970000,0.040779,0.010959
-0.960000,0.041597,0.703089
-0.950000,0.042440,-0.097817
-0.940000,0.043309,-0.071523
-0.930000,0.044204,0.148227
-0.920000,0.045126,0.075809
-0.910000,0.046078,0.214833
-0.900000,0.047059,0.219431
-0.890000,0.048071,0.121392
-0.880000,0.049116,-0.210872
-0.870000,0.050195,-0.174660
-0.860000,0.051308,-0.124310
-0.850000,0.052459,0.225859
-0.840000,0.053648,-0.014352
-0.830000,0.054877,0.339410
-0.820000,0.056148,0.017803
-0.810000,0.057463,-0.005453
-0.800000,0.058824,0.256736
-0.790000,0.060232,0.068906
-0.780000,0.061690,0.195271
-0.770000,0.063201,0.543769
-0.760000,0.064767,0.065090
-0.750000,0.066390,0.027089
-0.740000,0.068074,0.074198
-0.730000,0.069820,0.236954
-0.720000,0.071633,0.221709
-0.710000,0.073516,-0.207295
-0.700000,0.075472,0.241844
-0.690000,0.077504,0.698490
-0.680000,0.079618,0.483218
-0.670000,0.081816,0.313397
-0.660000,0.084104,0.280989
-0.650000,0.086486,0.350294
-0.640000,0.088968,0.466625
-0.630000,0.091554,0.312908
-0.620000,0.094251,0.397847
-0.610000,0.097064,0.130414
-0.600000,0.100000,0.190669
-0.590000,0.103066,0.436795
-0.580000,0.106270,0.493578
-0.570000,0.109619,0.170875
-0.560000,0.113122,0.019938
-0.550000,0.116788,0.172562
-0.540000,0.120627,0.402147
-0.530000,0.124649,0.377222
-0.520000,0.128866,0.406523
-0.510000,0.133289,-0.156112
-0.500000,0.137931,0.466913
-0.490000,0.142806,0.021982
-0.480000,0.147929,-0.067240
-0.470000,0.153315,0.285904
-0.460000,0.158982,0.485957
-0.450000,0.164948,0.122304
-0.440000,0.171233,0.338511
-0.430000,0.177857,0.427108
-0.420000,0.184843,0.311201
-0.410000,0.192215,0.632319
-0.400000,0.200000,0.528794
-0.390000,0.208225,0.380581
-0.380000,0.216920,0.318090
-0.370000,0.226116,0.462403
-0.360000,0.235849,0.481034
-0.350000,0.246154,0.557028
-0.340000,0.257069,0.290977
-0.330000,0.268637,0.622470
-0.320000,0.280899,0.751814
-0.310000,0.293902,0.462960
-0.300000,0.307692,0.335168
-0.290000,0.322321,0.324537
-0.280000,0.337838,0.633747
-0.270000,0.354296,0.368442
-0.260000,0.371747,0.559651
-0.250000,0.390244,0.379526
-0.240000,0.409836,0.490974
-0.230000,0.430570,0.144695
-0.220000,0.452489,0.227049
-0.210000,0.475624,0.478604
-0.200000,0.500000,0.413102
-0.190000,0.525624,0.341191
-0.180000,0.552486,0.253383
-0.170000,0.580552,0.531293
-0.160000,0.609756,0.673583
-0.150000,0.640000,0.929589
-0.140000,0.671141,0.401072
-0.130000,0.702988,0.478480
-0.120000,0.735294,0.491402
-0.110000,0.767754,0.272627
-0.100000,0.800000,0.688403
-0.090000,0.831601,0.020616
-0.080000,0.862069,0.674319
-0.070000,0.890869,0.444691
-0.060000,0.917431,0.418431
-0.050000,0.941176,0.157336
-0.040000,0.961538,0.363790
-0.030000,0.977995,0.302630
-0.020000,0.990099,0.255193
-0.010000,0.997506,0.564674
0.000000,1.000000,0.238201
0.010000,0.997506,0.138356
0.020000,0.990099,0.024786
0.030000,0.977995,0.664360
0.040000,0.961538,0.387921
0.050000,0.941176,0.248815
0.060000,0.917431,0.616119
0.070000,0.890869,0.832730
0.080000,0.862069,0.701769
0.090000,0.831601,0.439279
0.100000,0.800000,1.190987
0.110000,0.767754,0.497997
0.120000,0.735294,0.673934
0.130000,0.702988,-0.000276
0.140000,0.671141,0.493011
0.150000,0.640000,0.377567
0.160000,0.609756,0.478297
0.170000,0.580552,0.954907
0.180000,0.552486,0.559202
0.190000,0.525624,0.361959
0.200000,0.500000,0.402642
0.210000,0.475624,0.572336
0.220000,0.452489,0.692248
0.230000,0.430570,0.452246
0.240000,0.409836,0.479725
0.250000,0.390244,-0.055458
0.260000,0.371747,0.925465
0.270000,0.354296,0.344576
0.280000,0.337838,0.787615
0.290000,0.322321,0.223724
0.300000,0.307692,0.328656
0.310000,0.293902,0.751201
0.320000,0.280899,0.528814
0.330000,0.268637,0.441992
0.340000,0.257069,0.306657
0.350000,0.246154,0.650097
0.360000,0.235849,0.528491
0.370000,0.226116,0.445842
0.380000,0.216920,0.408978
0.390000,0.208225,0.096185
0.400000,0.200000,0.545826
0.410000,0.192215,0.442583
0.420000,0.184843,0.459800
0.430000,0.177857,0.432807
0.440000,0.171233,0.487683
0.450000,0.164948,0.573550
0.460000,0.158982,0.880192
0.470000,0.153315,0.644979
0.480000,0.147929,0.672734
0.490000,0.142806,0.752723
0.500000,0.137931,0.275229
0.510000,0.133289,0.226883
0.520000,0.128866,0.491763
0.530000,0.124649,0.330987
0.540000,0.120627,0.449360
0.550000,0.116788,0.244829
0.560000,0.113122,0.209580
0.570000,0.109619,0.482814
0.580000,0.106270,0.386186
0.590000,0.103066,0.622062
0.600000,0.100000,0.047458
0.610000,0.097064,0.252964
0.620000,0.094251,0.389571
0.630000,0.091554,0.100637
0.640000,0.088968,0.461441
0.650000,0.086486,0.348444
0.660000,0.084104,0.452091
0.670000,0.081816,0.370555
0.680000,0.079618,0.180130
0.690000,0.077504,0.508900
0.700000,0.075472,0.126813
0.710000,0.073516,-0.028789
0.720000,0.071633,0.057374
0.730000,0.069820,0.344065
0.740000,0.068074,0.149562
0.750000,0.066390,0.316103
0.760000,0.064767,0.182433
0.770000,0.063201,0.258135
0.780000,0.061690,0.079386
0.790000,0.060232,0.228341
0.800000,0.058824,0.295005
0.810000,0.057463,0.315792
0.820000,0.056148,0.014290
0.830000,0.054877,0.119045
0.840000,0.053648,0.062444
0.850000,0.052459,0.230948
0.860000,0.051308,0.517766
0.870000,0.050195,0.096019
